Datum,Uur,Waarde
2025-01-01,00,-0.691
2025-01-01,01,-0.694
2025-01-01,02,-0.691
2025-01-01,03,-0.695
2025-01-01,04,-0.695
2025-01-01,05,-0.696
2025-01-01,06,-0.772
2025-01-01,07,-0.718
2025-01-01,08,-0.735
2025-01-01,09,-0.734
2025-01-01,10,-0.733
2025-01-01,11,-0.736
2025-01-01,12,-0.720
2025-01-01,13,-0.744
2025-01-01,14,-0.745
2025-01-01,15,-0.751
2025-01-01,16,-0.744
2025-01-01,17,-0.722
2025-01-01,18,-0.698
2025-01-01,19,-0.700
2025-01-01,20,-0.703
2025-01-01,21,-0.675
2025-01-01,22,-0.692
2025-01-01,23,-0.683
2025-01-02,00,-0.676
2025-01-02,01,-0.667
2025-01-02,02,-0.656
2025-01-02,03,-0.635
2025-01-02,04,-0.595
2025-01-02,05,-0.598
2025-01-02,06,-0.593
2025-01-02,07,-0.589
2025-01-02,08,-0.586
2025-01-02,09,-0.583
2025-01-02,10,-0.585
2025-01-02,11,-0.588
2025-01-02,12,-0.592
2025-01-02,13,-0.651
2025-01-02,14,-0.635
2025-01-02,15,-0.635
2025-01-02,16,-0.644
2025-01-02,17,-0.653
2025-01-02,18,-0.657
2025-01-02,19,-0.660
2025-01-02,20,-0.667
2025-01-02,21,-0.642
2025-01-02,22,-0.664
2025-01-02,23,-0.668
2025-01-03,00,-0.669
2025-01-03,01,-0.667
2025-01-03,02,-0.653
2025-01-03,03,-0.628
2025-01-03,04,-0.632
2025-01-03,05,-0.638
2025-01-03,06,-0.646
2025-01-03,07,-0.653
2025-01-03,08,-0.656
2025-01-03,09,-0.659
2025-01-03,10,-0.660
2025-01-03,11,-0.663
2025-01-03,12,-0.666
2025-01-03,13,-0.665
2025-01-03,14,-0.661
2025-01-03,15,-0.656
2025-01-03,16,-0.653
2025-01-03,17,-0.651
2025-01-03,18,-0.650
2025-01-03,19,-0.656
2025-01-03,20,-0.652
2025-01-03,21,-0.649
2025-01-03,22,-0.644
2025-01-03,23,-0.641
2025-01-04,00,-0.646
2025-01-04,01,-0.648
2025-01-04,02,-0.646
2025-01-04,03,-0.649
2025-01-04,04,-0.648
2025-01-04,05,-0.646
2025-01-04,06,-0.648
2025-01-04,07,-0.645
2025-01-04,08,-0.643
2025-01-04,09,-0.644
2025-01-04,10,-0.644
2025-01-04,11,-0.643
2025-01-04,12,-0.645
2025-01-04,13,-0.680
2025-01-04,14,-0.675
2025-01-04,15,-0.681
2025-01-04,16,-0.685
2025-01-04,17,-0.685
2025-01-04,18,-0.686
2025-01-04,19,-0.688
2025-01-04,20,-0.691
2025-01-04,21,-0.691
2025-01-04,22,-0.691
2025-01-04,23,-0.692
2025-01-05,00,-0.695
2025-01-05,01,-0.697
2025-01-05,02,-0.697
2025-01-05,03,-0.693
2025-01-05,04,-0.691
2025-01-05,05,-0.686
2025-01-05,06,-0.679
2025-01-05,07,-0.674
2025-01-05,08,-0.670
2025-01-05,09,-0.668
2025-01-05,10,-0.665
2025-01-05,11,-0.661
2025-01-05,12,-0.658
2025-01-05,13,-0.654
2025-01-05,14,-0.650
2025-01-05,15,-0.660
2025-01-05,16,-0.663
2025-01-05,17,-0.653
2025-01-05,18,-0.644
2025-01-05,19,-0.659
2025-01-05,20,-0.647
2025-01-05,21,-0.672
2025-01-05,22,-0.669
2025-01-05,23,-0.667
2025-01-06,00,-0.666
2025-01-06,01,-0.665
2025-01-06,02,-0.667
2025-01-06,03,-0.667
2025-01-06,04,-0.667
2025-01-06,05,-0.667
2025-01-06,06,-0.667
2025-01-06,07,-0.670
2025-01-06,08,-0.670
2025-01-06,09,-0.670
2025-01-06,10,-0.670
2025-01-06,11,-0.675
2025-01-06,12,-0.679
2025-01-06,13,-0.694
2025-01-06,14,-0.741
2025-01-06,15,-0.758
2025-01-06,16,-0.728
2025-01-06,17,-0.727
2025-01-06,18,-0.713
2025-01-06,19,-0.703
2025-01-06,20,-0.693
2025-01-06,21,-0.687
2025-01-06,22,-0.677
2025-01-06,23,-0.667
2025-01-07,00,-0.664
2025-01-07,01,-0.660
2025-01-07,02,-0.641
2025-01-07,03,-0.633
2025-01-07,04,-0.633
2025-01-07,05,-0.629
2025-01-07,06,-0.625
2025-01-07,07,-0.621
2025-01-07,08,-0.617
2025-01-07,09,-0.622
2025-01-07,10,-0.625
2025-01-07,11,-0.628
2025-01-07,12,-0.631
2025-01-07,13,-0.635
2025-01-07,14,-0.637